"id","name","applicability","country_id/id"
"tax_tag_P1","P1","taxes","base.ie"
"tax_tag_AC5","AC5","taxes","base.ie"
"tax_tag_BC5","BC5","taxes","base.ie"
"tax_tag_C5","C5","taxes","base.ie"
"tax_tag_B5","B5","taxes","base.ie"
"tax_tag_D1","D1","taxes","base.ie"
"tax_tag_E3","E3","taxes","base.ie"
"tax_tag_D4","D4","taxes","base.ie"
"tax_tag_R1","R1","taxes","base.ie"
"tax_tag_P2","P2","taxes","base.ie"
"tax_tag_AH5","AH5","taxes","base.ie"
"tax_tag_BH5","BH5","taxes","base.ie"
"tax_tag_AC6","AC6","taxes","base.ie"
"tax_tag_BC6","BC6","taxes","base.ie"
"tax_tag_C6","C6","taxes","base.ie"
"tax_tag_B6","B6","taxes","base.ie"
"tax_tag_G5","G5","taxes","base.ie"
"tax_tag_J1","J1","taxes","base.ie"
"tax_tag_E4","E4","taxes","base.ie"
