"id","name","code","account_type","reconcile","tag_ids","non_trade","parent_id","active","name@es"
"cuenta101_00","Cash","101","asset_cash","True","l10n_mx.tag_debit_balance_account","","","False","Caja"
"cuenta102_00","Banks","102","asset_current","True","l10n_mx.tag_debit_balance_account","","","False","Bancos"
"cuenta102_02","Foreign currency bank transfers","102.02.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta102_00","","Transferencias bancarias moneda extranjera"
"cuenta105_00","Customers","105","asset_receivable","True","l10n_mx.tag_debit_balance_account","","","False","Clientes"
"cuenta105_01","Domestic customers","105.01.01","asset_receivable","True","l10n_mx.tag_debit_balance_account","","cuenta105_00","","Clientes nacionales"
"cuenta105_02","National customers (PoS)","105.01.02","asset_receivable","True","l10n_mx.tag_debit_balance_account","","cuenta105_00","","Clientes nacionales (PoS)"
"cuenta107_00","Other receivables","107","asset_receivable","True","l10n_mx.tag_debit_balance_account","","","False","Deudores diversos"
"cuenta107_05_01","Goods Shipped - No Invoices","107.05.01","asset_receivable","True","l10n_mx.tag_debit_balance_account","","cuenta107_00","","Mercancías Enviadas - No Facturas"
"cuenta108_00","Allowance for doubtful accounts","108","asset_current","True","l10n_mx.tag_debit_balance_account","","","False","Estimación de cuentas incobrables"
"cuenta108_01","Allowance for doubtful accounts national","108.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta108_00","","Estimación de cuentas incobrables nacional"
"cuenta108_02","Allowance for doubtful accounts foreign","108.02.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta108_00","","Estimación de cuentas incobrables extranjero"
"cuenta110_00","Employment subsidy to be applied","110","asset_current","True","l10n_mx.tag_debit_balance_account","","","False","Subsidio al empleo por aplicar"
"cuenta110_01","Employment subsidy to apply","110.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta110_00","","Subsidio al empleo por aplicar"
"cuenta113_00","Taxes credit","113","asset_current","False","l10n_mx.tag_debit_balance_account","","","False","Impuestos a favor"
"cuenta113_01","VAT credit","113.01.01","asset_current","False","l10n_mx.tag_debit_balance_account","True","cuenta113_00","","IVA a favor"
"cuenta113_02_01","ISR Credit","113.02.01","asset_current","False","l10n_mx.tag_debit_balance_account","True","cuenta113_00","","ISR a favor"
"cuenta113_02_02","ISR Withheld","113.02.02","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta113_00","","ISR Retenido"
"cuenta113_08","Other taxes credit","113.08.01","asset_current","False","l10n_mx.tag_debit_balance_account","True","cuenta113_00","","Otros impuestos a favor"
"cuenta115_00","Inventory","115","asset_current","False","l10n_mx.tag_debit_balance_account","","","False","Inventario"
"cuenta115_01","Inventory","115.01.01","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta115_00","","Inventario"
"cuenta115_02","Raw materials and materials","115.02.01","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta115_00","","Materia prima y materiales"
"cuenta115_03","Production in progress","115.03.01","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta115_00","","Producción en proceso"
"cuenta115_04","Finished products","115.04.01","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta115_00","","Productos terminados"
"cuenta115_05","Goods in transit","115.05.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta115_00","","Mercancías en tránsito"
